"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Wie oft hören Sie Wissenschaftspodcasts?  Unter ""Wissenschaftspodcasts"" versteht man jegliche Podcasts, die wissenschaftliche Themen inhaltlich behandeln. Das können zum Beispiel Podcasts über Astrologie, Virologie oder auch Psychologie sein. ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin anerkannter Experte auf seinem / ihrem Gebiet ist?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin über einen packenden Gesprächsstil verfügt?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin leidenschaftlich seiner / ihrer Tätigkeit beim Podcast nachgeht?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin transparent darlegt, welchen Organisationen er / sie angehört und wer den Podcast und die Forschung unterstützt?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin persönliche Informationen über sich mit den Zuhörenden teilt?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig    ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin transparent darlegt, was seine / ihre persönlichen Absichten und Überzeugungen sind?         Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin neue, aktuelle Erkenntnisse diskutiert?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin wissenschaftliche Methoden ausführlich erklärt?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin die Qualität von präsentierten Studien diskutiert?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin die Quellen der besprochenen Studien angibt?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin verschiedene Sichtweisen in Betracht zieht?     Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie wichtig ist es Ihnen, dass der Podcaster / die Podcasterin sagt, was man aufgrund der aktuellen Forschungslage noch nicht weiss, also was zur jetzigen Zeit ungewiss ist?        Bitte beachten Sie:   1 = überhaupt nicht wichtig  5 = extrem wichtig ","Wie sehr vertrauen Sie allgemein der Kommunikation von Podcastern und Podcasterinnen im Rahmen eines Wissenschaftspodcasts?        Bitte beachten Sie:   1 = überhaupt nicht   5 = extrem ","Bitte geben Sie Ihr Geschlecht an:","Wie alt sind Sie?","Was ist zur jetztigen Zeit Ihr höchster Schulabschluss?","Können wir Ihre Antworten für die Studie verwenden?  Falls Sie 'Nein' angekreuzt haben, haben Sie zusätzlich die Möglichkeit, den Grund zu nennen. ","Können wir Ihre Antworten für die Studie verwenden?  Falls Sie 'Nein' angekreuzt haben, haben Sie zusätzlich die Möglichkeit, den Grund zu nennen.  [Kommentar]"
"4","1980-01-01 00:00:00","2","de","1661653927","AO03","5","3","4","4","3","4","5","5","5","5","5","4","3","AO02","57","AO05","AO01",""
"5","1980-01-01 00:00:00","2","de","584345728","AO05","4","4","5","5","3","4","4","4","5","5","5","4","2","AO01","26","AO04","AO01",""
"6","1980-01-01 00:00:00","2","de","699409850","AO06","4","5","5","5","3","4","3","2","4","5","5","4","4","AO02","43","AO03","AO01","Schade, dass sie nur von Gesprächsformaten ausgehen. Ein richtig guter Wissenschafts-Podcast ist für mich auch gut gestaltet und kein reines Gespräch. Also in Reportage Form mit Geräuschen, Gesprächen vor Ort und einem Off-Text. Reine Gespräche überzeugen mich seltenst. Wenn dann muss die Gesprächsführung ein stimmiges und spannendes Storytelling haben und nicht unbedingt in einem nüchternen Studio oder gar über Skype (ect) aufgenommen worden sein."
"7","1980-01-01 00:00:00","2","de","172277562","AO05","1","4","5","5","2","2","4","2","3","3","5","4","4","AO01","39","AO04","AO01",""
"8","","0","de","422512295","","","","","","","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","2","de","312121221","AO05","3","5","5","4","2","2","5","1","3","5","5","4","3","AO02","26","AO05","AO01",""
"10","1980-01-01 00:00:00","2","de","1127911857","AO03","3","4","5","4","3","4","4","3","5","5","5","5","4","AO01","30","AO05","AO01",""
"11","1980-01-01 00:00:00","2","de","599565724","AO03","4","5","4","3","1","2","4","2","3","3","3","4","4","AO02","49","AO05","AO01",""
"12","","","de","471423022","","","","","","","","","","","","","","","","","","",""
"13","1980-01-01 00:00:00","2","de","1613918069","AO02","4","5","5","4","2","2","5","5","4","4","3","4","4","AO01","26","AO03","AO01",""
"14","1980-01-01 00:00:00","2","de","67741442","AO05","1","5","4","5","4","4","4","2","3","2","3","4","3","AO01","42","AO05","AO02","Die Umfrage geht von einem einseitigen Bild von Wissenschaftspodcasts aus / als ob es nur Gesprächspodcasts von Podcasterinnen und Podcastern gäbe. Dabei gibt es z.B. auch professionell gemachte Storytellingformate. "
"15","","","de","1372998483","","","","","","","","","","","","","","","","","","",""
"16","1980-01-01 00:00:00","2","de","1551458635","AO05","4","4","3","3","4","3","5","3","5","5","4","5","4","AO02","32","AO05","AO01",""
"17","","","de","870884858","","","","","","","","","","","","","","","","","","",""
"18","1980-01-01 00:00:00","2","de","247761265","AO07","4","5","5","5","2","4","5","3","4","5","5","5","3","AO02","32","AO04","AO01",""
"19","1980-01-01 00:00:00","2","de","287664255","AO03","3","4","5","2","2","5","5","4","5","5","5","2","2","AO02","20","AO03","AO01",""
"20","1980-01-01 00:00:00","2","de","601797819","AO07","5","4","4","4","3","3","4","4","5","5","5","3","3","AO02","19","AO03","AO01",""
"21","1980-01-01 00:00:00","2","de","2080314241","AO07","4","4","4","3","2","2","3","3","3","3","4","3","3","AO02","23","AO03","AO01",""
"22","1980-01-01 00:00:00","2","de","127411270","AO08","3","4","4","5","2","4","3","2","2","1","5","3","2","AO01","22","AO03","AO01",""
"23","1980-01-01 00:00:00","2","de","982627020","AO08","5","4","4","5","1","1","3","4","5","5","4","5","4","AO02","25","AO03","AO01",""
"24","1980-01-01 00:00:00","2","de","2044786859","AO04","2","3","4","5","2","4","4","2","4","5","5","5","3","AO01","50","AO06","AO01","Leider keine Fragen zu Audioqualität und Gestaltung! Für mich ist das auch wichtiger Punkt ob mir ein Podcast gefällt oder nicht. "
"25","1980-01-01 00:00:00","2","de","1280594465","AO04","4","4","3","2","1","2","5","3","4","5","5","5","2","AO02","22","AO03","AO01",""
"26","1980-01-01 00:00:00","2","de","988300442","AO06","3","5","5","3","2","3","4","5","4","5","5","5","4","AO02","22","AO03","AO01",""
"27","1980-01-01 00:00:00","2","de","1434105869","AO06","3","4","5","3","3","4","5","4","5","4","4","5","3","AO02","21","AO03","AO01",""
